Second,Price
0,46931.91
1,46902.02
2,46895.44
3,46880.01
4,46876.11
5,46875.18
6,46859.99
7,46866.41
8,46902.42
9,46923.35
10,46922.82
11,46943.58
12,46945.82
13,46920.6
14,46927.56
15,46937.51
16,46955.18
17,46959.1
18,46952.31
19,46959.11
20,46956.26
21,46941.34
22,46944.7
23,46944.42
24,46936.74
25,46945.22
26,46940.93
27,46959.35
28,46952.38
29,46950.35
30,46942.13
31,46949.23
32,46947.08
33,46955.68
34,46968.47
35,46972.11
36,46967.19
37,46970.38
38,46974.39
39,46985.03
40,46993.99
41,46992.18
42,46987.58
43,46992.17
44,46989.97
45,46993.99
46,46993.98
47,46994.33
48,46999.99
49,47007.69
50,47007.68
51,46997.78
52,47000.01
53,46997.7
54,47000.67
55,47000.02
56,47001.02
57,46999.45
58,47003.38
59,47005.94
60,47009.54
61,47001.18
62,47004.01
63,47001.56
64,47001.56
65,47002.92
66,47002.96
67,47005.45
68,47011.5
69,47012.99
70,47013.72
71,47012.99
72,47009.12
73,46995.23
74,46970.72
75,46962.77
76,46971.77
77,46950.03
78,46935.06
79,46920.01
80,46903.26
81,46920.0
82,46935.05
83,46937.33
84,46930.48
85,46955.18
86,46955.22
87,46986.53
88,46971.72
89,46968.41
90,46998.21
91,46999.99
92,47000.0
93,47009.64
94,46994.75
95,47003.38
96,46997.49
97,47005.94
98,47004.55
99,47009.18
100,47023.29
101,47003.29
102,46976.48
103,46969.63
104,46994.18
105,47006.13
106,47011.77
107,46994.27
108,46997.65
109,46999.99
110,47002.08
111,46995.67
112,46999.36
113,46999.99
114,46999.99
115,47013.31
116,47006.31
117,47013.24
118,47005.13
119,47021.67
